key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,1,0,start,0.01,db,0.05,0.3934070998802781,34.91230980027467,34.91230980027467,35.22659579990432,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,2,1,up,0.01,db,0.05005759777690845,0.0011331001296639442,37.27688780007884,37.27688780007884,37.577170100063086,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,3,2,down,0.01,db,0.05,0.0009587001986801624,39.67711480008438,39.67711480008438,39.97680990025401,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,4,3,up,0.005,db,0.05002879059946805,0.0007835002616047859,42.02705010026693,42.02705010026693,42.3269750000909,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,5,4,up,0.005,db,0.05002879059946805,0.0007921997457742691,44.360629099886864,44.360629099886864,44.6605317001231,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,6,5,up,0.005,db,0.05005759777690844,0.0007417001761496067,46.79393689986318,46.79393689986318,47.09404550027102,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,7,6,up,0.005,db,0.05008642154186699,0.0008086999878287315,49.14417820004746,49.14417820004746,49.44408439984545,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,8,7,up,0.005,db,0.05008642154186699,0.0007843002676963806,51.54426750028506,51.54426750028506,51.84406869998202,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,9,8,up,0.005,db,0.05008642154186699,0.0008540996350347996,53.91103699989617,53.91103699989617,54.21081200009212,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,10,9,down,0.005,db,0.05005759777690844,0.0011173998937010765,56.22763850027695,56.22763850027695,56.527699700091034,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,11,10,up,0.005,db,0.05008642154186699,0.0008454001508653164,58.59444770030677,58.59444770030677,58.89440880017355,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,12,11,up,0.005,db,0.050115261903894974,0.0009453999809920788,60.97822070028633,60.97822070028633,61.27816190011799,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,13,12,up,0.005,db,0.050115261903894974,0.0007901000790297985,63.29476909991354,63.29476909991354,63.59455640008673,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,14,13,up,0.005,db,0.050144118872549194,0.0007787002250552177,65.67817350011319,65.67817350011319,65.9780438002199,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,15,14,up,0.005,db,0.050144118872549194,0.0008498001843690872,67.99492069985718,67.99492069985718,68.29480740008876,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,16,15,up,0.005,db,0.05017299245739194,0.0008340999484062195,70.3616712000221,70.3616712000221,70.66167110018432,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,17,16,up,0.005,db,0.05017299245739194,0.0007513999007642269,72.76180869992822,72.76180869992822,73.06168999988586,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,18,17,up,0.005,db,0.05020188266799102,0.0007482003420591354,75.17847569985315,75.17847569985315,75.47842309996486,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,19,18,up,0.005,db,0.05023078951391974,0.0007719001732766628,77.54553160024807,77.54553160024807,77.84529379988089,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,20,19,up,0.005,db,0.050259713004756915,0.0008706999942660332,79.94546720013022,79.94546720013022,80.24541730014607,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,21,20,up,0.005,db,0.050259713004756915,0.0007671997882425785,82.31264190003276,82.31264190003276,82.61212000017986,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,22,21,up,0.005,db,0.05028865315008689,0.0007106997072696686,84.72923320019618,84.72923320019618,85.02897100010887,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,23,22,up,0.005,db,0.05028865315008689,0.0007609999738633633,87.0957992002368,87.0957992002368,87.39564430015162,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,24,23,up,0.005,db,0.05031760995949952,0.0007786001078784466,89.49585320008919,89.49585320008919,89.79590160027146,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,25,24,up,0.005,db,0.05031760995949952,0.0004369998350739479,91.91269040014595,91.91269040014595,92.21263170009479,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,26,25,up,0.005,db,0.05034658344259019,0.0009820000268518925,94.32945149997249,94.32945149997249,94.6294108000584,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,27,26,up,0.005,db,0.050375573608959785,0.0008148001506924629,96.69657710008323,96.69657710008323,96.9963691001758,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,28,27,up,0.005,db,0.050375573608959785,0.0007342998869717121,99.12964460020885,99.12964460020885,99.42951520020142,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,29,28,up,0.005,db,0.050404580468214756,0.0008066999725997448,101.56305989995599,101.56305989995599,101.86310649989173,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,30,29,up,0.005,db,0.05043360402996706,0.000879999715834856,103.98143350007012,103.98143350007012,104.2965108002536,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,31,30,up,0.005,db,0.05043360402996706,0.0009681000374257565,106.38009910006076,106.38009910006076,106.68018590006977,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,32,31,up,0.005,db,0.05043360402996706,0.0007688999176025391,108.74687530007213,108.74687530007213,109.04683910030872,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,33,32,up,0.005,db,0.05046264430383419,0.0007475996389985085,111.11346070002764,111.11346070002764,111.41352580022067,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,34,33,up,0.005,db,0.05046264430383419,0.000855499878525734,113.54692219989374,113.54692219989374,113.84688850026578,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,35,34,up,0.005,db,0.05049170129943919,0.0003539002500474453,115.89705729996786,115.89705729996786,116.19720879988745,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,36,35,up,0.005,db,0.05049170129943919,0.0011396999470889568,118.28060800023377,118.28060800023377,118.58373979991302,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,37,36,up,0.005,db,0.05049170129943919,0.0008396999910473824,120.6640854999423,120.6640854999423,120.96393059985712,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,38,37,up,0.005,db,0.050520775026410635,0.0010345997288823128,123.04734539985657,123.04734539985657,123.34696910018101,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,39,38,up,0.005,db,0.050549865494382645,0.00035750027745962143,125.38123850012198,125.38123850012198,125.68058119993657,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,40,39,up,0.005,db,0.05057897271299489,0.0007269000634551048,127.76442850008607,127.76442850008607,128.06414359994233,0,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,41,40,up,0.005,db,0.05060809669189259,0.0013469001278281212,130.11435930011794,130.11435930011794,130.4144005002454,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,42,41,up,0.005,db,0.05060809669189259,0.0007494003511965275,132.46453829994425,132.46453829994425,132.76401280006394,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,43,42,up,0.005,db,0.05060809669189259,0.00031400006264448166,134.8646970000118,134.8646970000118,135.1645080000162,1,grating exp staircase,001,2022-09-07_17h00.24.502,grating psychopy,2022.2.2,59.930157434806084,
