2.5582 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
28.3955 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1536, 1024]. Using actual size
30.1111 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000200DB32CD90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000200DE476910>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1536, 1024]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
30.1116 	EXP 	window1: mouseVisible = True
30.1120 	EXP 	window1: mouseVisible = False
30.1120 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
30.1120 	EXP 	window1: recordFrameIntervals = False
30.2767 	EXP 	window1: recordFrameIntervals = True
30.4606 	EXP 	Screen (0) actual frame rate measured at 59.93Hz
30.4607 	EXP 	window1: recordFrameIntervals = False
32.8503 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
32.8656 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
32.8701 	EXP 	Imported C:/Users/urbun/Downloads/conditions.xlsx as conditions, 1 conditions, 5 params
33.2591 	EXP 	window1: recordFrameIntervals = False
33.2626 	EXP 	window1: recordFrameIntervals = False
34.0450 	DATA 	Keypress: space
34.2579 	EXP 	fixation: autoDraw = True
34.9123 	EXP 	grating: autoDraw = True
34.9123 	EXP 	grating: tex = 'sin'
35.2266 	EXP 	grating: autoDraw = False
35.2600 	EXP 	fixation: autoDraw = False
35.2636 	EXP 	window1: recordFrameIntervals = False
35.2655 	DATA 	Keypress: right
35.2766 	EXP 	fixation: autoDraw = False
35.2766 	EXP 	grating: autoDraw = False
35.2769 	EXP 	window1: recordFrameIntervals = False
36.2548 	EXP 	fixation: autoDraw = True
37.2602 	EXP 	fixation: autoDraw = False
37.2769 	EXP 	grating: autoDraw = True
37.2769 	EXP 	grating: tex = 'sin'
37.5772 	EXP 	grating: autoDraw = False
37.6636 	EXP 	window1: recordFrameIntervals = False
37.6655 	DATA 	Keypress: left
37.6771 	EXP 	fixation: autoDraw = False
37.6771 	EXP 	grating: autoDraw = False
37.6774 	EXP 	window1: recordFrameIntervals = False
38.6537 	EXP 	fixation: autoDraw = True
39.6602 	EXP 	fixation: autoDraw = False
39.6771 	EXP 	grating: autoDraw = True
39.6771 	EXP 	grating: tex = 'sin'
39.9768 	EXP 	grating: autoDraw = False
40.0139 	EXP 	window1: recordFrameIntervals = False
40.0157 	DATA 	Keypress: left
40.0271 	EXP 	fixation: autoDraw = False
40.0271 	EXP 	grating: autoDraw = False
40.0277 	EXP 	window1: recordFrameIntervals = False
41.0037 	EXP 	fixation: autoDraw = True
42.0104 	EXP 	fixation: autoDraw = False
42.0271 	EXP 	grating: autoDraw = True
42.0271 	EXP 	grating: tex = 'sin'
42.3270 	EXP 	grating: autoDraw = False
42.3479 	EXP 	window1: recordFrameIntervals = False
42.3496 	DATA 	Keypress: right
42.3604 	EXP 	fixation: autoDraw = False
42.3604 	EXP 	grating: autoDraw = False
42.3607 	EXP 	window1: recordFrameIntervals = False
43.3375 	EXP 	fixation: autoDraw = True
44.3440 	EXP 	fixation: autoDraw = False
44.3606 	EXP 	grating: autoDraw = True
44.3606 	EXP 	grating: tex = 'sin'
44.6605 	EXP 	grating: autoDraw = False
44.7802 	EXP 	window1: recordFrameIntervals = False
44.7819 	DATA 	Keypress: right
44.7941 	EXP 	fixation: autoDraw = False
44.7941 	EXP 	grating: autoDraw = False
44.7944 	EXP 	window1: recordFrameIntervals = False
45.7708 	EXP 	fixation: autoDraw = True
46.7773 	EXP 	fixation: autoDraw = False
46.7939 	EXP 	grating: autoDraw = True
46.7939 	EXP 	grating: tex = 'sin'
47.0940 	EXP 	grating: autoDraw = False
47.1302 	EXP 	window1: recordFrameIntervals = False
47.1319 	DATA 	Keypress: left
47.1440 	EXP 	fixation: autoDraw = False
47.1440 	EXP 	grating: autoDraw = False
47.1443 	EXP 	window1: recordFrameIntervals = False
48.1213 	EXP 	fixation: autoDraw = True
49.1273 	EXP 	fixation: autoDraw = False
49.1442 	EXP 	grating: autoDraw = True
49.1442 	EXP 	grating: tex = 'sin'
